mnemonic,unit_name,inserted_at,updated_at
beta_ind_debt,Not Applicable,5/4/18,5/4/18
ndc_ind,In Percent,5/4/18,5/4/18
ceq_adj_sa2,In Millions,5/4/18,5/4/18
ep_bnk,In Millions,5/4/18,5/4/18
ceqt_adj_sa2,In Millions,5/4/18,5/4/18
coe,In Percent,5/4/18,5/4/18
mb_adj,Ratio,5/4/18,5/4/18
eqc_ind,In Percent,5/4/18,5/4/18
mb_adj_fy,Ratio,5/4/18,5/4/18
revt_ins_g1q,In Percent,5/4/18,5/4/18
revt_ins_g4q,In Percent,5/4/18,5/4/18
revt_bank_g1q,In Percent,5/4/18,5/4/18
revt_bank_g4q,In Percent,5/4/18,5/4/18
opcash_l4q,In Millions,5/4/18,5/4/18
nev_daily,In Millions,5/4/18,5/4/18
nev_d_annual_component,In Millions,5/4/18,5/4/18
roa_bnk,In Percent,5/4/18,5/4/18
r_yield,In Percent,5/4/18,5/4/18
ebitda_fwd_12m_daily,In Millions,5/4/18,5/4/18
ni_fwd_12m_daily,In Millions,5/4/18,5/4/18
ebita_fwd_12m_daily,In Millions,5/4/18,5/4/18
div_adj,In Single Unit,5/4/18,5/4/18
prev_sale_fy0,In Millions,5/4/18,5/4/18
nev_cy_component,In Millions,5/4/18,5/4/18
ni_fy0,In Millions,5/4/18,5/4/18
nev_d_quarterly_component,In Millions,5/4/18,5/4/18
imputed_growth_bnk,In Percent,5/4/18,5/4/18
imputed_growth,In Percent,5/4/18,5/4/18
imputed_growth_gw,In Percent,5/4/18,5/4/18
pe_fy,Ratio,5/4/18,5/4/18
roic_sa15,In Percent,5/4/18,5/4/18
ebitda,In Millions,5/4/18,5/4/18
roic_pretax,In Percent,5/4/18,5/4/18
nonopa_ic,Ratio,5/4/18,5/4/18
inc_real_estate_rev,In Millions,5/4/18,5/4/18
pi,In Millions,5/4/18,5/4/18
sale_usd,In Millions,5/4/18,5/4/18
ceq_calc,In Millions,5/4/18,5/4/18
onopa_m,In Millions,5/4/18,5/4/18
prov_nop_c_m,In Millions,5/4/18,5/4/18
ib_am_gwipg1y,In Percent,5/4/18,5/4/18
dvp,In Millions,5/4/18,5/4/18
rwa,In Millions,5/4/18,5/4/18
epspi_adj,In Single Unit,5/4/18,5/4/18
noplat_fwd_12m_daily,In Millions,5/4/18,5/4/18
imputed_growth_ind,In Percent,5/4/18,5/4/18
imputed_growth_ind_gw,In Percent,5/4/18,5/4/18
cshoq_a_adj,In Millions,5/4/18,5/4/18
cshoq_a_adj_fye,In Millions,5/4/18,5/4/18
bvps,Ratio,5/4/18,5/4/18
payyield,In Percent,5/4/18,5/4/18
yield_spread,In Percent,5/4/18,5/4/18
r_debt,In Percent,5/4/18,5/4/18
capr1,In Percent,5/4/18,5/4/18
capr2,In Percent,5/4/18,5/4/18
sale,In Millions,5/4/18,5/4/18
ric,In Millions,5/4/18,5/4/18
ev,In Millions,5/4/18,5/4/18
rev,In Millions,5/4/18,5/4/18
re,In Millions,5/4/18,5/4/18
xopr_ins,In Millions,5/4/18,5/4/18
trs3y,In Percent,5/4/18,5/4/18
trs5y,In Percent,5/4/18,5/4/18
trs10y,In Percent,5/4/18,5/4/18
mb_sa5,Ratio,5/4/18,5/4/18
saleg1y,In Percent,5/4/18,5/4/18
saleg3y,In Percent,5/4/18,5/4/18
saleg7y,In Percent,5/4/18,5/4/18
saleg10y,In Percent,5/4/18,5/4/18
ebita_marg_sa5,In Percent,5/4/18,5/4/18
ebita_marg_sa7,In Percent,5/4/18,5/4/18
ebita_marg_sa15,In Percent,5/4/18,5/4/18
roic_sa3,In Percent,5/4/18,5/4/18
roic_sa7,In Percent,5/4/18,5/4/18
rebitda,In Millions,5/4/18,5/4/18
mb,Ratio,5/4/18,5/4/18
roic_sa10,In Percent,5/4/18,5/4/18
cturn_gw,Ratio,5/4/18,5/4/18
cumtrs15y,In Percent,5/4/18,5/4/18
cumtrs3y,In Percent,5/4/18,5/4/18
de,In Percent,5/4/18,5/4/18
def_tax_incre,In Millions,5/4/18,5/4/18
ebita,In Millions,5/4/18,5/4/18
ebitag10y,In Percent,5/4/18,5/4/18
ebitag1y,In Percent,5/4/18,5/4/18
ebitag3y,In Percent,5/4/18,5/4/18
ebitag5y,In Percent,5/4/18,5/4/18
ebita_cov,Ratio,5/4/18,5/4/18
ebitda_cov,Ratio,5/4/18,5/4/18
ebt,In Millions,5/4/18,5/4/18
epsg10y,In Percent,5/4/18,5/4/18
epsg1y,In Percent,5/4/18,5/4/18
xint_m,In Millions,5/4/18,5/4/18
icg3y,In Percent,5/4/18,5/4/18
ic_gw,In Millions,5/4/18,5/4/18
nev,In Millions,5/4/18,5/4/18
opca,In Millions,5/4/18,5/4/18
opcl,In Millions,5/4/18,5/4/18
ppent_incre,In Millions,5/4/18,5/4/18
payout_ratio,In Percent,5/4/18,5/4/18
roic_gw_pretax,In Percent,5/4/18,5/4/18
rsaleg1y,In Percent,5/4/18,5/4/18
rsaleg3y,In Percent,5/4/18,5/4/18
seq_book,In Millions,5/4/18,5/4/18
seq_mkt,In Millions,5/4/18,5/4/18
wc_sale,In Percent,5/4/18,5/4/18
xsga_marg,In Percent,5/4/18,5/4/18
ppent_ic,In Percent,5/4/18,5/4/18
nonopa_ic_gw,Ratio,5/4/18,5/4/18
roic_pretax_sa10,In Percent,5/4/18,5/4/18
rebit,In Millions,5/4/18,5/4/18
cstk,In Millions,5/4/18,5/4/18
wc_incre,In Millions,5/4/18,5/4/18
rebitdag1y,In Percent,5/4/18,5/4/18
rebitdag5y,In Percent,5/4/18,5/4/18
rnoplat,In Millions,5/4/18,5/4/18
repsg5y,In Percent,5/4/18,5/4/18
ricg5y,In Percent,5/4/18,5/4/18
nopi,In Millions,5/4/18,5/4/18
xsga,In Millions,5/4/18,5/4/18
cogs,In Millions,5/4/18,5/4/18
ao,In Millions,5/4/18,5/4/18
intan,In Millions,5/4/18,5/4/18
dltt,In Millions,5/4/18,5/4/18
lo,In Millions,5/4/18,5/4/18
mib,In Millions,5/4/18,5/4/18
ni,In Millions,5/4/18,5/4/18
spi,In Millions,5/4/18,5/4/18
at_no_gdwl,In Millions,5/4/18,5/4/18
iint,In Millions,5/4/18,5/4/18
dvc,In Millions,5/4/18,5/4/18
mrc1,In Millions,5/4/18,5/4/18
ni_cs,In Millions,5/4/18,5/4/18
sstk,In Millions,5/4/18,5/4/18
ivncf,In Millions,5/4/18,5/4/18
nev_ebita,Ratio,5/4/18,5/4/18
nev_ic,Ratio,5/4/18,5/4/18
nev_sale,Ratio,5/4/18,5/4/18
ic_l,In Millions,5/4/18,5/4/18
ebitdag1y,In Percent,5/4/18,5/4/18
dlc,In Millions,5/4/18,5/4/18
lt,In Millions,5/4/18,5/4/18
ic_usd,In Millions,5/4/18,5/4/18
ev_usd,In Millions,5/4/18,5/4/18
mcap_usd,In Millions,5/4/18,5/4/18
iva_m,In Millions,5/4/18,5/4/18
ppt_m,In Millions,5/4/18,5/4/18
rca,In Millions,5/4/18,5/4/18
am_intan_op_m,In Millions,5/4/18,5/4/18
pldip_at_m,In Millions,5/4/18,5/4/18
txt_fin_m,In Millions,5/4/18,5/4/18
ocnoa_m,In Millions,5/4/18,5/4/18
opeb_e_m,In Millions,5/4/18,5/4/18
prov_op_c_m,In Millions,5/4/18,5/4/18
div_invt_m,In Millions,5/4/18,5/4/18
xopr,In Millions,5/4/18,5/4/18
wacc,In Percent,5/4/18,5/4/18
nit_m,In Millions,5/4/18,5/4/18
revt,In Millions,5/4/18,5/4/18
roaa,In Percent,5/4/18,5/4/18
aco_m,In Millions,5/4/18,5/4/18
pbalt,In Millions,5/4/18,5/4/18
prllt,In Millions,5/4/18,5/4/18
pblc,In Millions,5/4/18,5/4/18
lco_m,In Millions,5/4/18,5/4/18
ib_am_gwip,In Millions,5/4/18,5/4/18
ocnol_m,In Millions,5/4/18,5/4/18
de_book,In Percent,5/4/18,5/4/18
rf_cntry,In Percent,5/4/18,5/4/18
praa,In Millions,5/4/18,5/4/18
prbo,In Millions,5/4/18,5/4/18
ceqt_adj,In Millions,5/4/18,5/4/18
pe_fwd_12m,Ratio,5/4/18,5/4/18
nde_book,In Percent,5/4/18,5/4/18
nd_ebitda,In Percent,5/4/18,5/4/18
